1,A ____ is a hierarchical data structure with a root node and child nodes.,Tree,Trees,1
2,In a ____ tree each node has at most two children.,Binary,Trees,1
3,A ____ tree is a binary tree in which the left and right subtrees of any node differ in height by at most one.,Balanced,Trees,1
4,The ____ traversal visits nodes in the order: left subtree root right subtree.,In-order,Trees,1
5,The ____ traversal visits nodes in the order: root left subtree right subtree.,Pre-order,Trees,1
6,The ____ traversal visits nodes in the order: left subtree right subtree root.,Post-order,Trees,1
7,A ____ is a type of binary tree where each node has at most two children and every child node has at most two children.,Full Binary,Trees,1
8,In a ____ tree the parent node is always greater than or equal to its child nodes.,Max-Heap,Trees,1
9,In a ____ tree the parent node is always smaller than or equal to its child nodes.,Min-Heap,Trees,1
10,A ____ tree is a binary tree that maintains a specific order property.,Binary Search,Trees,1
11,In a ____ tree each node contains a key and pointers to its child nodes.,Binary,Trees,1
12,A ____ tree is a tree where each node has exactly zero or two children.,Full,Trees,1
13,In a ____ tree each node has exactly zero one or two children.,Complete,Trees,1
14,The ____ of a tree is the number of edges on the longest path from the root to a leaf.,Height,Trees,1
15,The ____ of a node in a tree is the number of edges from the node to the tree's root node.,Depth,Trees,1
16,A ____ tree is a binary search tree that self-balances to maintain its height.,AVL,Trees,1
17,The ____ algorithm is used to insert a node in a binary search tree.,Insert,Trees,1
18,The ____ algorithm is used to delete a node from a binary search tree.,Delete,Trees,1
19,A ____ tree is a tree where nodes can have multiple children.,General,Trees,1
20,In a ____ tree all leaf nodes are at the same level.,Perfect,Trees,1
21,The ____ traversal visits nodes level by level from top to bottom.,Level-order,Trees,1
22,A ____ is a binary tree with nodes arranged in a specific order.,Binary Search,Trees,1
23,In a ____ tree each node contains a key a value and pointers to its child nodes.,Binary,Trees,1
24,A ____ tree is a tree where each node has a key and all descendants of the node have keys greater than or equal to the node's key.,Max-Heap,Trees,1
25,A ____ tree is a tree where each node has a key and all descendants of the node have keys smaller than or equal to the node's key.,Min-Heap,Trees,1
26,In a ____ tree each node has a key and pointers to its child nodes with no duplicates allowed.,Binary Search,Trees,2
27,The ____ of a binary tree is the number of edges on the path from the root to the deepest node.,Height,Trees,2
28,In a ____ tree nodes are added in a way that keeps the tree balanced.,AVL,Trees,2
29,The ____ of a node in a tree is the number of edges from the node to the root.,Depth,Trees,2
30,A ____ tree is a type of self-balancing binary search tree.,Red-Black,Trees,2
31,In a ____ tree each node has a unique key and an associated value.,Binary Search,Trees,2
32,A ____ tree is a binary tree where every parent node has a value greater than or equal to its children.,Max-Heap,Trees,2
33,A ____ tree is a binary tree where every parent node has a value smaller than or equal to its children.,Min-Heap,Trees,2
34,The ____ traversal visits nodes in a binary tree starting from the root and exploring as far as possible along each branch before backtracking.,Depth-First,Trees,2
35,The ____ traversal visits nodes in a binary tree level by level.,Breadth-First,Trees,2
36,A ____ tree is a tree where each node has at most two children.,Binary,Trees,2
37,In a ____ tree the difference between the heights of the left and right subtrees of any node is at most one.,Balanced,Trees,2
38,A ____ tree is a binary search tree that maintains a balance by rotating nodes.,Red-Black,Trees,2
39,The ____ algorithm is used to traverse a binary tree in in-order.,In-order,Trees,2
40,The ____ algorithm is used to traverse a binary tree in pre-order.,Pre-order,Trees,2
41,The ____ algorithm is used to traverse a binary tree in post-order.,Post-order,Trees,2
42,In a ____ tree each node has exactly zero or one child.,Skewed,Trees,2
43,The ____ traversal visits nodes in a binary tree starting from the root and exploring each level before moving to the next level.,Breadth-First,Trees,2
44,A ____ tree is a binary tree with all levels fully filled except possibly the last.,Complete,Trees,2
45,In a ____ tree all the leaf nodes are at the same depth.,Perfect,Trees,2
46,A ____ tree is a binary tree where each node has a key value and pointers to its left and right children.,Binary Search,Trees,2
47,The ____ of a tree is the number of edges on the longest path from the root to a leaf.,Height,Trees,2
48,A ____ tree is a binary search tree that balances itself by rotating nodes.,AVL,Trees,2
49,The ____ of a binary tree is the number of edges on the path from the root to the deepest node.,Depth,Trees,2
50,In a ____ tree each node has a key and all descendants have keys greater than or equal to the node's key.,Max-Heap,Trees,2
51,A ____ tree is a tree where nodes have keys and pointers to their child nodes.,General,Trees,3
52,The ____ traversal visits nodes in a binary tree in the order left subtree root right subtree.,In-order,Trees,3
53,The ____ traversal visits nodes in a binary tree in the order root left subtree right subtree.,Pre-order,Trees,3
54,The ____ traversal visits nodes in a binary tree in the order left subtree right subtree root.,Post-order,Trees,3
55,A ____ tree is a tree where each node has exactly zero or two children.,Full,Trees,3
